Id_bien;Code_dep_code_commune;No_voie;Type_de_voie;Voie;Total_piece;Surface_carrez;Surface_local;Type_local
33096;77479;7;AV;JEAN JAURES;3;54,44;55;Appartement
33097;77513;23;RUE;DE LA MARNE;4;73,88;81;Appartement
33098;77514;81;RUE;DES PEUPLIERS;3;63,3;65;Maison
33099;78005;18;RUE;LINO VENTURA;4;74,5;74;Appartement
33100;78123;555;RUE;MAURICE BERTEAUX;2;41,18;40;Appartement
33101;78165;3;AV;MONTAIGNE;3;54,01;54;Appartement
33102;78165;5;AV;MONTAIGNE;3;57;54;Appartement
33103;78172;24;RUE;DU BOIS GENTIL;4;86,72;85;Maison
33104;78190;81;RUE;EUGENE LABICHE;3;68,09;64;Appartement
33105;78208;4;AV;PAUL CEZANNE;3;66,14;66;Appartement
33106;78311;433;RUE;AMBROISE PARE;4;106,1;105;Maison
33107;78311;433;RUE;AMBROISE PARE;4;95,05;89;Maison
33108;78322;4;RUE;DES PICOTEUSES;8;163,19;162;Maison
33109;78383;7;PL;DES ARDENNES;3;75,23;74;Appartement
33110;78383;7;RUE;DU VAL DE LOIRE;5;103,98;102;Appartement
33111;78401;78;ALL;DE L ILE DE FRANCE;6;102;103;Maison
33112;78420;41;RUE;DE VERSAILLES;2;35,3;34;Maison
33113;78440;89;RTE;DE VERNEUIL;2;33,21;33;Appartement
33114;78481;7;RUE;ALEXANDRE DUMAS;4;87;89;Maison
33115;78498;15;RUE;DES SORBIERS;4;67,77;72;Appartement
33116;78517;26;RUE;CHASLES;1;31,2;33;Appartement
33117;78517;8;RUE;G. LENOTRE;7;95,73;95;Appartement
33118;78545;1;PROM;DES ANGES;3;66,7;67;Appartement
33119;78545;1;ALL;RENE FONCK;3;59,3;59;Appartement
33120;78551;6;PL;DU MARCHE NEUF;1;23,34;25;Appartement
33121;78586;106;RUE;DE LA PAIX;4;69,11;69;Appartement
33122;78646;47;RUE;DE LA PAROISSE;3;82,01;70;Appartement
33123;78646;89;AV;DE SAINT CLOUD;5;121,68;110;Appartement
33124;78650;20;PL;DU MARCHE;4;36,58;39;Appartement
33125;78688;14;PL;DES DOUVES;2;41,45;45;Appartement
33126;82121;16;GR;GRAND RUE VILLENOUVELLE;1;46,85;42;Appartement
33127;82121;300;RTE;DE L AVEYRON;2;42,49;42;Appartement
33128;83009;124;RUE;RICHELIEU;2;49,03;49;Appartement
33129;83009;722;AV;DEI REGANEU;1;28,68;30;Appartement
33130;83009;151;BD;DE LA MER;3;64,96;66;Appartement
33131;83019;85;RUE;DES DAPHNES;2;32,36;32;Appartement
33132;83019;75;AV;DU HUIT MAI;2;89,25;89;Appartement
33133;83019;539;AV;DE LA MER;2;35,42;37;Appartement
33134;83036;350;CHE;DES VIVARDS;4;82,18;82;Appartement
33135;83054;5;IMP;DES ETOURNEAUX;6;129,5;129;Appartement
33136;83069;36;RUE;EUGENIE;4;73,25;66;Appartement
33137;83069;24;RUE;EUGENIE;4;79,65;91;Appartement
33138;83069;29;AV;ALPHONSE DENIS;1;79,76;27;Appartement
33139;83069;46;AV;EDITH CAVEL;3;59,28;54;Appartement
33140;83112;1;BD;ANATOLE DUCROS;4;84,48;89;Appartement
33141;83112;20;RES;PROVENCE PARC;2;48,84;49;Appartement
33142;83137;166;RUE;GEORGES LEYGUES;4;79,05;78;Appartement
33143;83137;621;COR;LITTORAL FREDERIC MISTRAL;2;50,58;50;Appartement
33144;83137;2;AV;COLBERT;3;69,9;72;Appartement
33145;83137;31;TRA;LACORDAIRE;2;27,52;29;Appartement
33146;83137;5001;RUE;DEJUSSIEU PONTCARRAL;4;71,3;60;Appartement
33147;84007;8;RUE;SAINT CHARLES;4;104,04;102;Appartement
33148;84007;15;RUE;AMPHOUX;3;64,68;79;Appartement
33149;84007;10;AV;SAINT RUF;2;72;75;Appartement
33150;84035;174;FG;DES CONDAMINES;3;62,6;65;Appartement
33151;84081;9109;RUE;GERARD PHILIPPE;4;86,3;88;Maison
33152;84132;80;RUE;RASPAIL;3;43,35;45;Appartement
33153;85035;51;AV;DES DUNES;2;23,86;25;Appartement
33154;85194;125;VOIE;DE LA BAUQUIERE;2;13,76;14;Appartement
33155;85234;162;AV;VALENTIN;4;37,9;65;Appartement
33156;88160;2;RUE;DE LA CAMERELLE;2;49,57;48;Appartement
33157;88160;36;RUE;DE LA CLE D OR;3;69,56;90;Appartement
33158;88160;35;RUE;EMILE ZOLA;6;133,65;134;Maison
33159;88198;14;RTE;DU NOIR SAPIN;4;111,69;93;Maison
33160;88209;5;RUE;DE BEAULIEU;4;95;94;Appartement
33161;88408;1;RTE;DU MONT DE FOURCHE;3;64,43;64;Appartement
33162;88408;1;RTE;DU MONT DE FOURCHE;4;83,32;105;Appartement
33163;88415;36;RUE;DES PONCEES;5;119,76;128;Appartement
33164;91016;41;RUE;NATIONALE;2;44,42;55;Appartement
33165;91027;13;ALL;D'OZONVILLE;4;84,34;82;Appartement
33166;91114;36;RUE;DE LA POSTE;3;60,5;60;Appartement
33167;91225;28;RES;LES BOIS DU CERF;7;144,05;145;Maison
33168;91228;2;SQ;CHARLES BAUDELAIRE;4;82,07;78;Appartement
33169;91228;3;RUE;ANDRE LALANDE;1;27,6;27;Appartement
33170;91272;9001;RES;FONDS FANETTES;3;61,72;56;Appartement
33171;91434;28;RUE;DE SAVIGNY;3;57;56;Appartement
33172;91514;44;RUE;LA FONTAINE CORNAILLE;3;58,34;62;Appartement
33173;91549;2;RUE;MARCEL L'HERBIER;4;82,94;83;Appartement
33174;91589;117;BD;ARISTIDE BRIAND;4;75,21;74;Appartement
33175;91617;8;RUE;CAPITAINE ROLAND DEPLANQUE;4;108,02;78;Maison
33176;91657;1;RUE;DU BEL AIR;3;76,61;74;Appartement
33177;91661;18;RUE;DU CLOS D ALENCON;4;86,83;72;Maison
33178;91667;38;AV;D'EPINAY;3;52,06;60;Appartement
33179;91685;8;RUE;SALVADOR ALLENDE;5;100,52;121;Maison
33180;91692;9001;AV;DE NORMANDIE;3;66;67;Appartement
33181;91692;4;ALL;DES MIMOSAS;5;110,18;112;Appartement
33182;92019;56;RUE;JEAN LONGUET;5;83,47;150;Maison
33183;92024;43;RUE;KLOCK;3;58,82;60;Appartement
33184;92024;3;IMP;BARBIER;2;45,82;46;Appartement
33185;92026;29;RUE;AUGUSTE BAILLY;3;70,2;70;Appartement
33186;92026;6;RUE;DES VIEILLES VIGNES;3;52,35;56;Appartement
33187;92026;29;RUE;DE BEZONS;2;45,05;45;Appartement
33188;92044;4;BD;BINEAU;2;36,53;36;Appartement
33189;92046;18;RUE;RAYMOND FASSIN;2;33,72;38;Appartement
33190;92062;3;RUE;DU BICENTENAIRE;1;27,68;28;Appartement
33191;92063;19;RUE;DES BONS RAISINS;3;55,4;56;Appartement
33192;92063;14;VLA;DU PARC;5;121,61;122;Maison
33193;92063;8;RUE;COLONEL DE ROCHEBRUNE;5;132,47;162;Appartement
33194;92073;116;BD;HENRI SELLIER;4;95,39;98;Appartement
33195;92073;8;RUE;MICHELET;4;91,32;91;Appartement
33196;92073;4;RUE;ETIENNE DOLET;3;57;53;Appartement
33197;93032;3;AV;DU GRAND CERF;3;65,04;62;Appartement
33198;93032;1;RUE;ANDRE GERARDIN;4;73,24;74;Appartement
33199;93048;11;RUE;BUFFON;2;41,09;41;Appartement
33200;93048;119;RUE;DE ROSNY;4;76,05;60;Appartement
33201;93048;11;RUE;DESIRE CHARTON;3;55,66;55;Appartement
33202;93049;51;AV;DU MARECHAL JOFFRE;2;24,75;25;Appartement
33203;93050;1;PL;DU COMMERCE;2;60,38;58;Appartement
33204;93050;1;RUE;DE SAVOIE;1;40,36;41;Appartement
33205;93050;10;RUE;DE LA LIBERATION;4;68,17;65;Appartement
33206;93062;32;ALL;THIELLEMENT;3;71,43;69;Appartement
33207;93064;28;RUE;LAVOISIER;4;86,72;86;Appartement
33208;93066;2;RUE;DESIRE LELAY;1;16,95;17;Appartement
33209;93066;139;RUE;GABRIEL PERI;4;79,22;78;Appartement
33210;93070;16;AV;MICHELET;3;74,34;73;Appartement
33211;93070;23;ALL;DE PARIS;4;85,37;86;Appartement
