Id_Vente;Date_vente;Valeur_fonciere;Id_bien
2020-000327;2020-01-06;86000;327
2020-000328;2020-01-06;46000;328
2020-000329;2020-01-06;72000;329
2020-000330;2020-01-06;88000;330
2020-000331;2020-01-06;137000;331
2020-000332;2020-01-06;360000;332
2020-000333;2020-01-06;33000;333
2020-000334;2020-01-06;122450;334
2020-000335;2020-01-06;99750;335
2020-000336;2020-01-06;153300;336
2020-000337;2020-01-06;172950;337
2020-000338;2020-01-06;71530;338
2020-000339;2020-01-06;78000;339
2020-000340;2020-01-06;204000;340
2020-000341;2020-01-06;155000;341
2020-000342;2020-01-06;134000;342
2020-000343;2020-01-06;97000;343
2020-000344;2020-01-06;162000;344
2020-000345;2020-01-06;142200;345
2020-000346;2020-01-06;214000;346
2020-000347;2020-01-06;240000;347
2020-000348;2020-01-06;120000;348
2020-000349;2020-01-06;75200;349
2020-000350;2020-01-06;33000;350
2020-000351;2020-01-06;31000;351
2020-000352;2020-01-06;43000;352
2020-000353;2020-01-06;44950;353
2020-000354;2020-01-06;138000;354
2020-000355;2020-01-06;221300;355
2020-000356;2020-01-06;291000;356
2020-000357;2020-01-06;145000;357
2020-000358;2020-01-06;106000;358
2020-000359;2020-01-06;87000;359
2020-000360;2020-01-06;127900;360
2020-000361;2020-01-06;47000;361
2020-000362;2020-01-06;105003;362
2020-000363;2020-01-06;37000;363
2020-000364;2020-01-06;85500;364
2020-000365;2020-01-06;88000;365
2020-000366;2020-01-06;30500;366
2020-000367;2020-01-06;52381;367
2020-000368;2020-01-06;46000;368
2020-000369;2020-01-06;86000;369
2020-000370;2020-01-06;120300;370
2020-000371;2020-01-06;158500;371
2020-000372;2020-01-06;270000;372
2020-000373;2020-01-06;130000;373
2020-000374;2020-01-06;265320;374
2020-000375;2020-01-06;325000;375
2020-000376;2020-01-06;99900;376
2020-000377;2020-01-06;130000;377
2020-000378;2020-01-06;202380;378
2020-000379;2020-01-06;300000;379
2020-000380;2020-01-06;38200;380
2020-000381;2020-01-06;240000;381
2020-000382;2020-01-06;43000;382
2020-000383;2020-01-06;169000;383
2020-000384;2020-01-06;368000;384
2020-000385;2020-01-06;106574,1;385
2020-000386;2020-01-06;449000;386
2020-000387;2020-01-06;334450;387
2020-000388;2020-01-06;380000;388
2020-000389;2020-01-06;1829700;389
2020-000390;2020-01-06;3380000;390
2020-000391;2020-01-06;1565002;391
2020-000392;2020-01-06;800000;392
2020-000393;2020-01-06;362050;393
2020-000394;2020-01-06;482000;394
2020-000395;2020-01-06;601400;395
2020-000396;2020-01-06;506500;396
2020-000397;2020-01-06;204650;397
2020-000398;2020-01-06;1475700;398
2020-000399;2020-01-06;551800;399
2020-000400;2020-01-06;362300;400
2020-000401;2020-01-06;295700;401
2020-000402;2020-01-06;688292;402
2020-000403;2020-01-06;596650;403
2020-000404;2020-01-06;471000;404
2020-000405;2020-01-06;95000;405
2020-000406;2020-01-06;590000;406
2020-000407;2020-01-06;533000;407
2020-000408;2020-01-06;126000;408
2020-000409;2020-01-06;607500;409
2020-000410;2020-01-06;7420000;410
2020-000411;2020-01-06;328950;411
2020-000412;2020-01-06;552800;412
2020-000413;2020-01-06;343000;413
2020-000414;2020-01-06;532000;414
2020-000415;2020-01-06;1613000;415
2020-000416;2020-01-06;352500;416
2020-000417;2020-01-06;276930;417
2020-000418;2020-01-06;1188000;418
2020-000419;2020-01-06;112000;419
2020-000420;2020-01-06;403000;420
2020-000421;2020-01-06;60000;421
2020-000422;2020-01-06;124000;422
2020-000423;2020-01-06;225000;423
2020-000424;2020-01-06;185500;424
2020-000425;2020-01-06;113000;425
2020-000426;2020-01-06;45000;426
2020-000427;2020-01-06;189000;427
2020-000428;2020-01-06;145000;428
2020-000429;2020-01-06;257000;429
2020-000430;2020-01-06;175000;430
2020-000431;2020-01-06;370050;431
2020-000432;2020-01-06;128000;432
2020-000433;2020-01-06;168500;433
2020-000434;2020-01-06;582000;434
2020-000435;2020-01-06;181500;435
2020-000436;2020-01-06;240750;436
2020-000437;2020-01-06;271500;437
2020-000438;2020-01-06;102820;438
2020-000439;2020-01-06;740000;439
2020-000440;2020-01-06;54000;440
2020-000441;2020-01-06;224900;441
2020-000442;2020-01-06;90000;442
2020-000443;2020-01-06;148500;443
2020-000444;2020-01-06;372841;444
