Code Domaine,Domaine,Code zone (M49),Zone,Code année,Année,Code Produit,Produit,Code Mois,Mois,Code Élément,Élément,Unité,Valeur,Symbole,Description du Symbole,Note
"CP","Indices de Prix à la Consommation","276","Allemagne","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","103.401277","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","276","Allemagne","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","102.901262","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","276","Allemagne","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","102.901262","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","276","Allemagne","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","102.70126","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","276","Allemagne","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","103.001274","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","276","Allemagne","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","102.901262","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","276","Allemagne","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","103.401277","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","276","Allemagne","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","6125","Valeur","","104.201284","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","276","Allemagne","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","6125","Valeur","","104.301285","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","276","Allemagne","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","6125","Valeur","","105.001301","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","020","Andorre","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","102.71126","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","020","Andorre","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","103.824059","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","020","Andorre","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","103.15638","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","020","Andorre","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","102.154861","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","020","Andorre","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","102.71126","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","020","Andorre","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","103.378939","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","020","Andorre","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","103.0451","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","020","Andorre","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","103.26766","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","020","Andorre","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","104.936857","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","020","Andorre","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","6125","Valeur","","105.715815","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","020","Andorre","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","6125","Valeur","","105.159416","X","Ciffre de sources internationales","base year is 2015"
